date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:34	31375/31375	---M--	200	added ('OK')	image/png	etag:%2262f0f3c3-7a8f%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/destination/des-sm9.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/destination/des-sm9.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination.html)
15:13:34	157630/157630	---M--	200	added ('OK')	image/png	etag:%2262f0f3ba-267be%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/destination/dd-thumb.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/destination/dd-thumb.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:34	55298/55298	---M--	200	added ('OK')	image/png	etag:%2262f0f3b3-d802%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/destination/dd-img1.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/destination/dd-img1.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:34	54499/54499	---M--	200	added ('OK')	image/png	etag:%2262f0f3b3-d4e3%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/destination/dd-img2.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/destination/dd-img2.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:35	8860/8860	---M--	200	added ('OK')	image/png	etag:%2262f0f3fa-229c%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-1.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-1.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:35	8260/8260	---M--	200	added ('OK')	image/png	etag:%2262f0f3fc-2044%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-2.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-2.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:35	8304/8304	---M--	200	added ('OK')	image/png	etag:%2262f0f3fc-2070%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-3.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-3.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:35	9445/9445	---M--	200	added ('OK')	image/png	etag:%2262f0f3fd-24e5%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-4.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-4.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:35	7484/7484	---M--	200	added ('OK')	image/png	etag:%2262f0f3fd-1d3c%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-5.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-5.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:36	8317/8317	---M--	200	added ('OK')	image/png	etag:%2262f0f3fe-207d%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-6.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/gallary/sb-gallary-6.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:36	215809/215809	---M--	200	added ('OK')	image/png	etag:%2262f0f39e-34b01%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/banner/sidebar-banner.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/banner/sidebar-banner.png	(from https://demo.egenslab.com/html/tourxpro/demo/destination-details.html)
15:13:36	14617/14617	---M--	200	added ('OK')	image/png	etag:%2262f0f43d-3919%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/package-sm4.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/package-sm4.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-sidebar.html)
15:13:36	17163/17163	---M--	200	added ('OK')	image/png	etag:%2262f0f43c-430b%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/package-sm3.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/package-sm3.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-sidebar.html)
15:13:37	14374/14374	---M--	200	added ('OK')	image/png	etag:%2262f0f43c-3826%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/package-sm2.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/package-sm2.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-sidebar.html)
15:13:37	13948/13948	---M--	200	added ('OK')	image/png	etag:%2262f0f43b-367c%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/package-sm1.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/package-sm1.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-sidebar.html)
15:13:37	134046/134046	---M--	200	added ('OK')	image/png	etag:%2262f0f436-20b9e%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma1.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma1.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-standard.html)
15:13:38	167743/167743	---M--	200	added ('OK')	image/png	etag:%2262f0f437-28f3f%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma2.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma2.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-standard.html)
15:13:38	141282/141282	---M--	200	added ('OK')	image/png	etag:%2262f0f439-227e2%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma4.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma4.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-standard.html)
15:13:39	185552/185552	---M--	200	added ('OK')	image/png	etag:%2262f0f438-2d4d0%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma3.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma3.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-standard.html)
15:13:39	144273/144273	---M--	200	added ('OK')	image/png	etag:%2262f0f43a-23391%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma5.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma5.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-standard.html)
15:13:39	395/395	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262f0f420-18b%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/icons/pd1.svg	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/icons/pd1.svg	(from https://demo.egenslab.com/html/tourxpro/demo/package-details.html)
15:13:39	153209/153209	---M--	200	added ('OK')	image/png	etag:%2262f0f43a-25679%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma6.png	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/package/p-gumma6.png	(from https://demo.egenslab.com/html/tourxpro/demo/package-standard.html)
15:13:40	5588/5588	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262f0f421-15d4%22	https://demo.egenslab.com/html/tourxpro/demo/assets/images/icons/pd2.svg	D:/Tourism-web/tourism-web/demo.egenslab.com/html/tourxpro/demo/assets/images/icons/pd2.svg	(from https://demo.egenslab.com/html/tourxpro/demo/package-details.html)
